Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,41.7000000000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,37.7000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,32.8000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,45.5000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,69.4000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,95.2000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,78.9000000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,43.2000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,37.5000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT107A,STA.IT0777A,IT0777A,SPO.IT0777A_6001_BETA_2007-01-01_00:00:00,SPP.IT0777A_6001_BETA_2007-01-01_00:00:00,SAM.IT0777A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.9000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
