,Date,Country,City,Specie,count,min,max,median,variance, dummy
324122,2020-01-16,US,Oklahoma City,pm25,96,26.0,60.0,48.0,601.05,
324123,2020-01-12,US,Oklahoma City,pm25,96,18.0,56.0,34.0,851.41,
324124,2020-01-02,US,Oklahoma City,pm25,72,18.0,55.0,28.0,800.12,
324125,2020-03-19,US,Oklahoma City,pm25,95,6.0,50.0,18.0,1092.99,
324126,2020-02-24,US,Oklahoma City,pm25,96,6.0,45.0,22.0,1076.31,
324127,2020-02-27,US,Oklahoma City,pm25,95,10.0,58.0,20.0,995.81,
324128,2020-02-11,US,Oklahoma City,pm25,96,15.0,38.0,25.0,225.67,
324129,2020-01-28,US,Oklahoma City,pm25,96,3.0,59.0,22.0,3169.58,
324130,2020-02-02,US,Oklahoma City,pm25,96,6.0,32.0,12.0,171.18,
324131,2020-01-07,US,Oklahoma City,pm25,96,9.0,92.0,20.0,1569.05,
324132,2020-03-25,US,Oklahoma City,pm25,96,14.0,77.0,23.0,1876.31,
324133,2020-03-22,US,Oklahoma City,pm25,96,11.0,61.0,21.0,1566.88,
324134,2020-03-05,US,Oklahoma City,pm25,95,10.0,54.0,25.0,2170.95,
324135,2020-02-29,US,Oklahoma City,pm25,96,16.0,52.0,30.0,736.73,
324136,2020-02-15,US,Oklahoma City,pm25,96,23.0,73.0,35.0,802.26,
324137,2020-02-01,US,Oklahoma City,pm25,96,5.0,69.0,15.0,1869.33,
324138,2020-01-21,US,Oklahoma City,pm25,96,17.0,63.0,35.0,1191.0,
324139,2020-01-23,US,Oklahoma City,pm25,96,3.0,50.0,11.0,1818.73,
324140,2020-03-31,US,Oklahoma City,pm25,96,13.0,45.0,22.0,420.74,
324141,2020-03-28,US,Oklahoma City,pm25,96,5.0,76.0,20.0,5065.26,
324142,2020-03-29,US,Oklahoma City,pm25,92,6.0,63.0,18.0,1979.69,
324143,2020-03-02,US,Oklahoma City,pm25,69,21.0,90.0,38.0,1534.6,
324144,2020-01-25,US,Oklahoma City,pm25,96,1.0,43.0,25.0,924.0,
324145,2020-01-13,US,Oklahoma City,pm25,96,34.0,69.0,52.0,484.26,
324146,2020-01-09,US,Oklahoma City,pm25,95,23.0,60.0,29.0,543.78,
324147,2020-04-03,US,Oklahoma City,pm25,96,5.0,56.0,28.0,1282.31,
324148,2020-03-26,US,Oklahoma City,pm25,95,17.0,77.0,48.0,2496.11,
324149,2020-02-21,US,Oklahoma City,pm25,96,16.0,58.0,28.0,827.89,
324150,2020-02-06,US,Oklahoma City,pm25,96,21.0,62.0,38.0,824.94,
324151,2020-01-06,US,Oklahoma City,pm25,96,12.0,43.0,20.0,371.2,
324152,2020-03-03,US,Oklahoma City,pm25,64,19.0,105.0,38.0,3392.98,
324153,2020-03-06,US,Oklahoma City,pm25,96,11.0,128.0,21.0,2712.31,
324154,2020-02-20,US,Oklahoma City,pm25,96,16.0,66.0,35.0,1340.45,
324155,2020-02-23,US,Oklahoma City,pm25,96,29.0,58.0,45.0,354.87,
324156,2020-03-10,US,Oklahoma City,pm25,72,14.0,58.0,27.0,932.24,
324157,2020-02-17,US,Oklahoma City,pm25,96,18.0,87.0,55.0,1049.86,
324158,2020-02-09,US,Oklahoma City,pm25,96,18.0,54.0,29.0,821.58,
324159,2020-01-03,US,Oklahoma City,pm25,82,10.0,51.0,19.0,794.88,
