City,State,Density,Lag,p-value,10% quantile,90% quantile
Denver,Colorado,1774.0,8.0,0.0,2.3,6.4
Seattle,Washington,3336.0,14.0,0.001,4.7,13.0
Boise,Idaho,1045.0,15.0,0.003,1.9,7.0
Manhattan,New York,27799.0,13.0,0.006,4.7,15.53
Baltimore,Maryland,2917.0,11.0,0.016,2.8,8.49
Indianapolis,Indiana,921.0,2.0,0.02,2.8,10.2
San Francisco,California,7286.0,8.0,0.022,1.9,5.78
Staten Island,New York,3155.0,8.0,0.05,3.8,16.7
Philadelphia,Pennsylvania,4547.0,6.0,0.054,1.9,7.5
Salt Lake City,Utah,696.0,1.0,0.059,2.8,6.5
Chicago,Illinois,4612.0,13.0,0.064,2.8,10.2
Albuquerque,New Mexico,1151.0,10.0,0.069,1.99,5.6
San Jose,California,2257.0,8.0,0.075,2.8,8.13
Atlanta,Georgia,1384.0,3.0,0.077,2.8,8.85
Los Angeles,California,3295.0,3.0,0.079,4.7,18.6
Richmond,Virginia,1463.0,11.0,0.092,0.6,2.3
Hartford,Connecticut,2741.0,3.0,0.109,1.0,4.6
El Paso,Texas,1025.0,2.0,0.118,1.9,5.6
Providence,Rhode Island,3783.0,9.0,0.119,3.8,10.2
Las Vegas,Nevada,1747.0,16.0,0.121,1.9,6.24
Boston,Massachusetts,5472.0,3.0,0.139,1.9,4.7
Sacramento,California,1980.0,4.0,0.2,1.0,2.8
Tucson,Arizona,868.0,9.0,0.257,1.35,4.55
Milwaukee,Wisconsin,2389.0,10.0,0.266,2.8,10.2
Portland,Oregon,1874.0,1.0,0.273,2.8,9.02
Phoenix,Arizona,1212.0,16.0,0.302,2.8,8.3
Fresno,California,1781.0,1.0,0.34,2.8,6.05
Columbus,Ohio,1551.0,1.0,0.344,2.62,10.4
Raleigh,North Carolina,1235.0,2.0,0.532,1.9,7.5
Oakland,California,2937.0,3.0,0.586,2.8,8.4
Oklahoma City,Oklahoma,409.0,1.0,0.599,2.8,9.3
