City,State,Density,Lag,p-value,10% quantile,90% quantile
Tallahassee,Florida,734.0,8.0,0.0,26.0,56.7
Fort Worth,Texas,978.0,7.0,0.0,17.0,57.4
Jacksonville,Florida,460.0,1.0,0.001,23.0,52.1
Nashville,Tennessee,541.0,15.0,0.001,21.0,49.2
San Antonio,Texas,1204.0,15.0,0.001,21.0,62.6
Salt Lake City,Utah,696.0,8.0,0.001,10.0,33.0
Oklahoma City,Oklahoma,409.0,9.0,0.002,22.0,54.0
Raleigh,North Carolina,1235.0,14.0,0.003,13.0,47.6
Miami,Florida,4969.0,7.0,0.004,21.0,50.0
Jackson,Mississippi,580.0,7.0,0.005,23.9,57.0
Memphis,Tennessee,793.0,2.0,0.008,21.0,48.4
Staten Island,New York,3155.0,3.0,0.008,12.0,37.7
Los Angeles,California,3295.0,12.0,0.01,20.0,58.9
Seattle,Washington,3336.0,14.0,0.011,13.0,26.5
Tucson,Arizona,868.0,8.0,0.013,13.0,30.0
Springfield,Illinois,727.0,16.0,0.015,18.0,49.1
Fresno,California,1781.0,7.0,0.022,14.3,41.0
Indianapolis,Indiana,921.0,10.0,0.024,18.0,52.0
Phoenix,Arizona,1212.0,6.0,0.026,15.0,30.0
Houston,Texas,1401.0,9.0,0.035,23.0,59.0
Atlanta,Georgia,1384.0,14.0,0.049,20.0,52.5
Baltimore,Maryland,2917.0,11.0,0.062,16.9,42.0
San Francisco,California,7286.0,2.0,0.073,13.0,46.8
El Paso,Texas,1025.0,3.0,0.097,17.0,38.0
Providence,Rhode Island,3783.0,8.0,0.101,13.0,34.0
Portland,Oregon,1874.0,12.0,0.105,10.0,24.0
Charlotte,North Carolina,1081.0,16.0,0.109,17.0,46.0
Brooklyn,New York,14606.0,1.0,0.128,10.0,34.3
Dallas,Texas,1524.0,10.0,0.132,20.1,59.6
Omaha,Nebraska,1304.0,3.0,0.138,17.0,46.0
Little Rock,Arkansas,643.0,7.0,0.146,19.0,52.0
Manhattan,New York,27799.0,2.0,0.155,10.0,34.6
Philadelphia,Pennsylvania,4547.0,1.0,0.181,20.0,41.0
Sacramento,California,1980.0,9.0,0.182,9.0,30.0
Boise,Idaho,1045.0,4.0,0.203,13.0,34.0
Austin,Texas,1144.0,6.0,0.229,21.0,63.8
Oakland,California,2937.0,4.0,0.307,13.0,46.0
Denver,Colorado,1774.0,14.0,0.31,17.0,40.4
San Jose,California,2257.0,5.0,0.342,13.0,36.8
Salem,Oregon,1347.0,7.0,0.356,10.0,24.0
Queens,New York,8247.0,5.0,0.357,9.0,30.5
Detroit,Michigan,1873.0,13.0,0.381,21.0,52.0
Boston,Massachusetts,5472.0,1.0,0.392,17.0,34.0
Milwaukee,Wisconsin,2389.0,2.0,0.403,16.0,51.8
Chicago,Illinois,4612.0,4.0,0.422,18.0,51.1
Las Vegas,Nevada,1747.0,1.0,0.51,11.0,30.0
Hartford,Connecticut,2741.0,13.0,0.561,12.8,42.0
Madison,Wisconsin,1250.0,16.0,0.565,16.0,51.8
