location_name,time,median_pm10,min_pm10,max_pm10,median_pm25,min_pm25,max_pm25,median_no2,median_co,latitude,longitude,Province_State,covid_cases,covid_cases_first_derivative,covid_cases_second_derivative,covid_cases_first_derivative_smooth,covid_cases_second_derivative_smooth,outbreak_phase,population,density,state,is_quarentined
Phoenix,2019-12-30,12.0,2.0,62.0,22.0,1.0,107.0,15.8,6.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2019-12-31,10.0,1.0,179.0,19.0,1.0,354.0,13.8,6.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-01,27.0,1.0,473.0,72.0,4.0,534.0,11.0,7.8,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-02,23.0,4.0,90.0,58.0,3.0,151.0,13.9,6.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-03,22.0,3.0,61.0,52.0,3.0,117.0,21.3,6.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-04,20.0,1.0,77.0,54.0,3.0,161.0,17.9,8.9,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-05,24.0,1.0,74.0,55.0,1.0,161.0,14.9,7.8,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-06,23.0,2.0,101.0,52.0,1.0,107.0,17.9,7.8,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-07,15.0,1.0,146.0,24.0,2.0,145.0,21.3,7.8,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-08,21.0,2.0,107.0,34.0,2.0,100.0,20.4,7.8,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-09,19.0,8.0,73.0,36.0,10.0,86.0,13.0,5.6,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-10,15.0,1.0,57.0,24.0,1.0,70.0,8.4,4.5,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-11,16.0,1.0,75.0,35.0,3.0,158.0,16.7,6.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-12,15.0,4.0,67.0,38.0,8.0,157.0,14.9,7.8,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-13,23.0,5.0,110.0,43.0,8.0,133.0,19.2,8.9,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-14,22.0,2.0,100.0,37.0,2.0,88.0,17.9,8.2,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-15,27.0,3.0,105.0,50.0,3.0,100.0,21.3,6.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-16,28.0,2.0,99.0,44.0,3.0,96.0,18.6,5.7,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-17,15.0,1.0,73.0,27.0,2.0,89.0,9.3,5.6,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-18,26.0,2.0,82.0,57.0,5.0,154.0,15.8,7.1,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-19,15.0,2.0,74.0,36.0,1.0,163.0,15.8,8.9,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-20,17.0,1.0,78.0,20.0,1.0,89.0,18.6,4.5,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-21,10.0,1.0,38.0,27.0,6.0,58.0,8.4,2.4,33.44838,-112.07404,Arizona,,,,,,,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-22,15.0,6.0,58.0,41.0,8.0,82.0,10.2,4.5,33.44838,-112.07404,Arizona,0.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-23,23.0,4.0,110.0,55.0,10.0,102.0,13.9,7.8,33.44838,-112.07404,Arizona,0.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-24,22.0,1.0,109.0,43.0,3.0,135.0,14.9,7.3,33.44838,-112.07404,Arizona,0.0,0.0,0.25,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-25,18.0,2.0,121.0,46.0,6.0,160.0,11.9,7.4,33.44838,-112.07404,Arizona,0.0,0.5,0.25,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-26,20.0,6.0,65.0,53.0,14.0,162.0,11.9,6.7,33.44838,-112.07404,Arizona,1.0,0.5,-0.25,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-27,19.0,4.0,88.0,46.0,1.0,109.0,11.9,6.7,33.44838,-112.07404,Arizona,1.0,0.0,-0.25,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-28,13.0,1.0,115.0,18.0,2.0,92.0,14.7,4.5,33.44838,-112.07404,Arizona,1.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-29,19.0,4.0,85.0,32.0,3.0,80.0,18.8,4.5,33.44838,-112.07404,Arizona,1.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-30,12.0,1.0,104.0,15.0,1.0,72.0,9.3,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-01-31,22.0,1.0,116.0,29.0,1.0,102.0,17.6,7.8,33.44838,-112.07404,Arizona,1.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-01,20.0,3.0,119.0,38.0,1.0,194.0,17.4,6.7,33.44838,-112.07404,Arizona,1.0,0.0,0.0,,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-02,14.0,4.0,62.0,30.0,2.0,123.0,13.0,4.5,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.04999999999999999,,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-03,25.0,8.0,153.0,21.0,2.0,95.0,4.7,2.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.04999999999999999,0.0,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-04,12.0,2.0,44.0,12.0,1.0,66.0,9.3,2.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.04999999999999999,-0.012500000000000011,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-05,14.0,1.0,93.0,19.0,1.0,72.0,7.5,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.024999999999999967,-0.024999999999999994,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-06,22.0,7.0,84.0,36.0,3.0,86.0,14.9,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,-0.012499999999999983,0.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-07,28.0,13.0,138.0,47.0,15.0,106.0,16.7,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-08,27.0,7.0,76.0,49.0,8.0,131.0,16.0,4.9,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-09,18.0,3.0,75.0,25.0,1.0,132.0,5.6,2.7,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-10,17.0,1.0,112.0,25.0,1.0,78.0,8.3,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-11,4.0,1.0,22.0,10.0,1.0,38.0,2.8,2.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-12,11.0,3.0,41.0,25.0,3.0,59.0,9.2,3.7,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-13,18.0,5.0,61.0,38.0,6.0,79.0,11.9,5.7,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-14,17.0,2.0,75.0,35.0,3.0,107.0,11.9,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-15,20.0,6.0,68.0,47.0,5.0,120.0,11.0,5.7,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-16,17.0,5.0,79.0,43.0,9.0,137.0,10.2,4.8,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-17,21.0,10.0,90.0,44.0,5.0,104.0,13.8,5.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-18,27.0,10.0,109.0,48.0,4.0,92.0,13.8,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-19,25.0,11.0,814.0,42.0,9.0,194.0,15.1,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-20,22.0,5.0,113.0,35.0,5.0,90.0,14.7,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-21,24.0,7.0,65.0,23.0,3.0,65.0,5.1,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-22,7.0,1.0,35.0,18.0,1.0,50.0,2.8,2.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-23,11.0,2.0,54.0,21.0,1.0,55.0,3.2,3.2,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-24,16.0,7.0,63.0,34.0,11.0,68.0,8.4,4.1,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.0,0.012500000000000011,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-25,12.0,1.0,66.0,14.0,1.0,54.0,3.8,2.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.025000000000000022,0.025000000000000022,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-26,5.0,1.0,62.0,9.0,1.0,159.0,4.7,2.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.050000000000000044,0.012500000000000011,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-27,16.0,4.0,98.0,24.0,2.0,83.0,17.6,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.050000000000000044,0.0,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-28,16.0,2.0,104.0,23.0,1.0,99.0,16.0,6.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.050000000000000044,-5.551115123125783e-17,1.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-02-29,19.0,1.0,60.0,33.0,2.0,91.0,10.6,5.6,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.04999999999999993,0.012499999999999956,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-01,13.0,2.0,53.0,22.0,1.0,78.0,7.5,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.07499999999999996,0.025000000000000078,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-02,15.0,3.0,64.0,20.0,2.0,52.0,11.2,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.10000000000000009,0.012500000000000011,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-03,16.0,1.0,57.0,18.0,1.0,55.0,5.6,2.3,33.44838,-112.07404,Arizona,1.0,0.0,0.0,0.09999999999999998,0.012499999999999956,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-04,15.0,2.0,63.0,20.0,3.0,59.0,8.4,3.4,33.44838,-112.07404,Arizona,1.0,0.0,0.25,0.125,0.025000000000000022,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-05,17.0,3.0,54.0,26.0,3.0,77.0,13.8,4.5,33.44838,-112.07404,Arizona,1.0,0.5,0.25,0.15000000000000002,0.0625,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-06,16.0,5.0,80.0,18.0,3.0,57.0,6.4,3.4,33.44838,-112.07404,Arizona,2.0,0.5,-0.25,0.25,0.11249999999999999,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-07,15.0,2.0,52.0,16.0,2.0,53.0,3.8,3.4,33.44838,-112.07404,Arizona,2.0,0.0,-0.25,0.375,0.09999999999999998,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-08,11.0,3.0,49.0,17.0,2.0,59.0,7.5,3.4,33.44838,-112.07404,Arizona,2.0,0.0,0.0,0.44999999999999996,0.20000000000000007,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-09,17.0,4.0,66.0,23.0,2.0,53.0,7.8,4.5,33.44838,-112.07404,Arizona,2.0,0.0,0.25,0.7750000000000001,0.4500000000000002,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-10,10.0,1.0,55.0,19.0,2.0,66.0,6.9,3.4,33.44838,-112.07404,Arizona,2.0,0.5,0.25,1.3500000000000003,0.6250000000000001,2.0,4081849.0,1212.0,Arizona,0.0
Phoenix,2020-03-11,5.0,1.0,18.0,15.0,1.0,41.0,4.7,4.5,33.44838,-112.07404,Arizona,3.0,0.5,-0.25,2.0250000000000004,0.9249999999999999,2.0,4081849.0,1212.0,Arizona,0.0
