pc,location_name,time,scores
1,Detroit,2020-03-25,-0.04079832377428905
1,Detroit,2020-03-26,-0.025407964999250594
1,Detroit,2020-03-27,-0.0029344838504271925
1,Detroit,2020-03-28,0.012731811166545846
1,Detroit,2020-03-29,0.017042704951585982
1,Detroit,2020-03-30,0.02038789818679537
1,Detroit,2020-03-31,0.01417545652821612
1,Detroit,2020-04-01,0.005601655997204479
1,Detroit,2020-04-02,-0.009833216037716488
1,Detroit,2020-04-03,-0.007487910256531704
1,Detroit,2020-04-04,-0.017716736831295
1,Detroit,2020-04-05,0.025441831240383985
1,Detroit,2020-04-06,-0.01614388473080583
1,Detroit,2020-04-07,-0.026752257485467165
1,Detroit,2020-04-08,0.004332684877747842
1,Detroit,2020-04-09,0.022058977321794633
1,Detroit,2020-04-10,0.02260938013261462
1,Detroit,2020-04-11,0.00873798808600638
1,Detroit,2020-04-12,0.004829202316508867
1,Detroit,2020-04-13,0.01685579522941643
1,Detroit,2020-04-14,0.012190780467902304
1,Detroit,2020-04-15,0.0001011016681907212
1,Detroit,2020-04-16,0.010627300479589576
1,Detroit,2020-04-17,0.0023577247617160416
1,Detroit,2020-04-18,-0.005238139739508929
1,Detroit,2020-04-19,0.0007306434570623343
1,Detroit,2020-04-20,0.012621348652079837
1,Detroit,2020-04-21,0.010111694984370085
1,Detroit,2020-04-22,0.0015824077132409614
1,Detroit,2020-04-23,0.0067185147100920625
1,Detroit,2020-04-24,-0.0177490146112216
1,Detroit,2020-04-25,-0.0031619176237561828
1,Detroit,2020-04-26,0.014130943268333605
1,Detroit,2020-04-27,-0.005617685919406973
1,Detroit,2020-04-28,-0.007693908035159721
1,Detroit,2020-04-29,0.002806865572815083
1,Detroit,2020-04-30,0.013716599772835063
1,Detroit,2020-05-01,0.01976755691266881
1,Detroit,2020-05-02,-0.008330302400533887
1,Detroit,2020-05-03,0.004288171617865326
1,Detroit,2020-05-04,0.017204189470331484
1,Detroit,2020-05-05,0.015640709482018757
1,Detroit,2020-05-06,0.005525990798338973
1,Detroit,2020-05-07,-0.011551671800377741
1,Detroit,2020-05-08,0.018390986646525637
1,Detroit,2020-05-09,0.017580872282450057
1,Detroit,2020-05-10,0.007820274575244262
1,Detroit,2020-05-11,0.020495497333481903
1,Detroit,2020-05-12,4.43529283522875e-05
1,Detroit,2020-05-13,0.004870852208611916
1,Detroit,2020-05-14,-0.019783586834871303
1,Detroit,2020-05-15,-0.00355083591583067
1,Detroit,2020-05-16,0.012542038076596823
1,Detroit,2020-05-17,0.013485176790782991
1,Detroit,2020-05-18,0.0120292959491568
1,Detroit,2020-05-19,0.007984622461769232
1,Detroit,2020-05-20,-0.0032469549347981345
1,Detroit,2020-05-21,-0.0056083138072305265
1,Detroit,2020-05-22,-0.0006390742325782895
1,Detroit,2020-05-23,-0.007450249573151737
1,Detroit,2020-05-24,-0.013156801680793511
1,Detroit,2020-05-25,-0.016995648986984458
1,Detroit,2020-05-26,-0.023306317680073796
1,Detroit,2020-05-27,-0.01918233361720321
1,Detroit,2020-05-28,0.0066080521956260576
1,Detroit,2020-05-29,0.0038738281223667844
1,Detroit,2020-05-30,0.014491572989204568
1,Detroit,2020-05-31,0.024524117729621868
1,Detroit,2020-06-01,-0.01074155743630216
1,Detroit,2020-06-02,-0.023306317680073796
1,Detroit,2020-06-03,-0.015732404603086756
1,Detroit,2020-06-04,-0.0199450713536168
1,Detroit,2020-06-05,-0.030155153704027205
1,Detroit,2020-06-06,-0.006766822412221158
1,Detroit,2020-06-07,0.012405978761275376
1,Detroit,2020-06-08,-0.004702835776424325
1,Detroit,2020-06-09,-0.03021190244386564
1,Detroit,2020-06-10,-0.022081859820499677
1,Detroit,2020-06-11,0.012567463280020875
1,Detroit,2020-06-12,0.00633896853019402
1,Detroit,2020-06-13,0.019147215638542252
1,Detroit,2020-06-14,0.010114558352149555
1,Detroit,2020-06-15,-0.005956708048145579
1,Detroit,2020-06-16,-0.013169037160749427
1,Detroit,2020-06-17,-0.0406114140521195
1,Detroit,2020-06-18,-0.031082239326965768
1,Detroit,2020-06-19,-0.037016225207936536
1,Detroit,2020-06-20,-0.01825238462648518
1,Detroit,2020-06-21,-0.0033679154023841997
1,Detroit,2020-06-22,-0.020321754165735374
1,Detroit,2020-06-23,0.007703303316381281
1,Detroit,2020-06-24,0.010086269780946035
